model,family,size_b,arch,tier,corpus,primitive,ca,acc_target,acc_retain,log_params
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,core_math,Proof,-0.471,0.4456,0.9167,9.845098040014257
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,ctr_cc,Causal,0.4149,0.6114,0.1965,9.845098040014257
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,mor_cc,Moral,-0.001,0.0125,0.0135,9.845098040014257
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,null_cc,Null,-0.2541,0.0025,0.2566,9.845098040014257
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,spl_cc,Math,0.2013,0.2013,0.0,9.845098040014257
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,stp_cc,Spatial,0.2413,0.2522,0.011,9.845098040014257
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,str_cc,Strategic,0.7032,0.7548,0.0517,9.845098040014257
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,tom_cc,ToM,0.104,0.2178,0.1137,9.845098040014257
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,core_math,Proof,0.0129,0.2841,0.2712,10.204119982655925
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,ctr_cc,Causal,0.2397,0.6932,0.4535,10.204119982655925
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,mor_cc,Moral,0.056,0.1799,0.1239,10.204119982655925
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,null_cc,Null,0.3141,0.8429,0.5288,10.204119982655925
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,spl_cc,Math,0.3243,0.3243,0.0,10.204119982655925
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,stp_cc,Spatial,0.387,0.5441,0.1571,10.204119982655925
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,str_cc,Strategic,0.3375,0.524,0.1865,10.204119982655925
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,tom_cc,ToM,0.1011,0.2217,0.1205,10.204119982655925
