family,primitive,n_models,n_distinct_sizes,target_slope,retain_slope,ca_slope,mode
01.AI,Causal,3,2,0.2500,0.3656,-0.1158,true_compression
AI2,Causal,3,2,0.3374,0.0327,0.3048,growth
Alibaba,Causal,7,5,0.2636,0.5339,-0.2702,true_compression
DeepSeek,Causal,2,2,0.2278,0.7158,-0.4880,true_compression
EleutherAI,Causal,2,2,-0.0087,0.0120,-0.0209,mixed
Google,Causal,5,3,0.1923,0.3237,-0.1315,true_compression
HuggingFace,Causal,2,2,0.3290,0.2317,0.0975,growth
IBM,Causal,3,2,0.1017,0.2285,-0.1267,true_compression
Meta,Causal,5,4,0.1709,0.2810,-0.1101,true_compression
Microsoft,Causal,3,2,0.0170,-0.0086,0.0255,growth
Mistral,Causal,3,2,0.0013,0.1113,-0.1100,true_compression
TII,Causal,4,2,-0.1711,-0.1440,-0.0272,pseudo_compression
01.AI,Moral,3,2,-0.0779,0.1172,-0.1951,mixed
AI2,Moral,3,2,-0.2089,-0.0668,-0.1421,pseudo_compression
Alibaba,Moral,7,5,0.5262,0.4885,0.0377,growth
DeepSeek,Moral,2,2,0.4663,0.3075,0.1588,growth
EleutherAI,Moral,2,2,-0.1422,-0.1103,-0.0319,pseudo_compression
Google,Moral,5,3,0.3766,0.4155,-0.0390,true_compression
HuggingFace,Moral,2,2,0.0541,0.0761,-0.0221,true_compression
IBM,Moral,3,2,0.3571,0.0600,0.2971,growth
Meta,Moral,5,4,0.1293,0.0841,0.0452,growth
Microsoft,Moral,3,2,-0.0147,0.0878,-0.1026,mixed
Mistral,Moral,3,2,-0.6696,-0.8608,0.1916,pseudo_compression
TII,Moral,4,2,-0.1554,-0.0122,-0.1432,pseudo_compression
01.AI,Null,3,2,-0.0084,-0.3663,0.3579,pseudo_compression
AI2,Null,3,2,0.7528,2.0411,-1.2883,true_compression
Alibaba,Null,7,5,0.2778,0.2773,0.0005,growth
DeepSeek,Null,2,2,2.3408,0.7582,1.5826,growth
EleutherAI,Null,2,2,-1.1568,-1.4841,0.3273,pseudo_compression
Google,Null,5,3,-0.0277,0.3153,-0.3431,mixed
HuggingFace,Null,2,2,0.3964,0.5069,-0.1104,true_compression
IBM,Null,3,2,0.3653,0.3243,0.0410,growth
Meta,Null,4,3,0.3614,0.5110,-0.1496,true_compression
Microsoft,Null,3,2,0.3864,1.1809,-0.7947,true_compression
Mistral,Null,3,2,0.9240,1.7246,-0.8006,true_compression
TII,Null,4,2,-0.0351,0.0949,-0.1299,mixed
01.AI,Spatial,3,2,-0.1163,-0.0443,-0.0722,pseudo_compression
AI2,Spatial,3,2,-0.0026,-0.0433,0.0402,pseudo_compression
Alibaba,Spatial,7,5,0.0171,-0.1065,0.1236,growth
DeepSeek,Spatial,2,2,0.8130,0.4069,0.4058,growth
EleutherAI,Spatial,2,2,0.2081,0.0523,0.1557,growth
Google,Spatial,5,3,0.0699,-0.0325,0.1025,growth
HuggingFace,Spatial,2,2,0.2672,0.1026,0.1645,growth
IBM,Spatial,3,2,-0.3172,-0.1655,-0.1516,pseudo_compression
Meta,Spatial,5,4,0.0648,0.0834,-0.0185,true_compression
Microsoft,Spatial,3,2,-0.0448,-0.1394,0.0949,pseudo_compression
Mistral,Spatial,3,2,-0.2478,0.2988,-0.5470,mixed
TII,Spatial,4,2,0.0185,0.1477,-0.1292,true_compression
01.AI,Strategic,3,2,0.2019,0.3350,-0.1331,true_compression
AI2,Strategic,3,2,-0.3108,-0.1423,-0.1685,pseudo_compression
Alibaba,Strategic,7,5,0.3616,0.5295,-0.1679,true_compression
DeepSeek,Strategic,2,2,-0.6429,0.3755,-1.0186,mixed
EleutherAI,Strategic,2,2,-0.3176,-0.0671,-0.2505,pseudo_compression
Google,Strategic,5,3,0.4403,0.3805,0.0598,growth
HuggingFace,Strategic,2,2,0.1096,0.1308,-0.0212,true_compression
IBM,Strategic,3,2,0.1002,0.1702,-0.0700,true_compression
Meta,Strategic,4,3,0.1590,0.2395,-0.0805,true_compression
Microsoft,Strategic,3,2,0.1713,0.3093,-0.1382,true_compression
Mistral,Strategic,3,2,0.1709,0.0801,0.0908,growth
TII,Strategic,4,2,-0.5459,-0.2572,-0.2888,pseudo_compression
01.AI,ToM,3,2,0.4174,0.4269,-0.0092,true_compression
AI2,ToM,3,2,0.0670,0.0145,0.0521,growth
Alibaba,ToM,7,5,0.4139,0.4257,-0.0117,true_compression
DeepSeek,ToM,2,2,0.0109,0.0189,-0.0081,true_compression
EleutherAI,ToM,2,2,-0.0133,-0.0559,0.0429,pseudo_compression
Google,ToM,5,3,0.3321,0.3011,0.0311,growth
HuggingFace,ToM,2,2,0.0543,0.0340,0.0203,growth
IBM,ToM,3,2,0.2893,0.2628,0.0267,growth
Meta,ToM,5,4,0.1479,0.0992,0.0487,growth
Microsoft,ToM,3,2,-0.0402,-0.0588,0.0185,pseudo_compression
Mistral,ToM,3,2,0.1600,-0.2130,0.3729,growth
TII,ToM,4,2,-0.1422,-0.1669,0.0247,pseudo_compression
