model,family,size_b,arch,tier,corpus,primitive,ca_raw,delta,ca_corrected
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,ctr_cc,Causal,0.4149,0.160,0.2549
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,mor_cc,Moral,-0.0010,0.000,-0.0010
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,null_cc,Null,-0.2541,0.700,-0.9541
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,stp_cc,Spatial,0.2413,0.000,0.2413
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,str_cc,Strategic,0.7032,0.220,0.4832
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,tom_cc,ToM,0.1040,0.140,-0.0360
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,ctr_cc,Causal,0.2397,0.160,0.0797
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,mor_cc,Moral,0.0560,0.000,0.0560
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,null_cc,Null,0.3141,0.700,-0.3859
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,stp_cc,Spatial,0.3870,0.000,0.3870
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,str_cc,Strategic,0.3375,0.220,0.1175
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,tom_cc,ToM,0.1011,0.140,-0.0389
falcon-40b,TII,40.0,Dense Transformer,27-72B,ctr_cc,Causal,0.2120,0.160,0.0520
falcon-40b,TII,40.0,Dense Transformer,27-72B,mor_cc,Moral,0.0748,0.000,0.0748
falcon-40b,TII,40.0,Dense Transformer,27-72B,null_cc,Null,-0.0302,0.700,-0.7302
falcon-40b,TII,40.0,Dense Transformer,27-72B,stp_cc,Spatial,0.1433,0.000,0.1433
falcon-40b,TII,40.0,Dense Transformer,27-72B,str_cc,Strategic,0.1630,0.220,-0.0570
falcon-40b,TII,40.0,Dense Transformer,27-72B,tom_cc,ToM,0.1490,0.140,0.0090
falcon-7b,TII,7.0,Dense Transformer,7-9B,ctr_cc,Causal,0.3329,0.160,0.1729
falcon-7b,TII,7.0,Dense Transformer,7-9B,mor_cc,Moral,0.0391,0.000,0.0391
falcon-7b,TII,7.0,Dense Transformer,7-9B,null_cc,Null,-0.0669,0.700,-0.7669
falcon-7b,TII,7.0,Dense Transformer,7-9B,stp_cc,Spatial,0.2653,0.000,0.2653
falcon-7b,TII,7.0,Dense Transformer,7-9B,str_cc,Strategic,0.2273,0.220,0.0073
falcon-7b,TII,7.0,Dense Transformer,7-9B,tom_cc,ToM,0.1665,0.140,0.0265
falcon-mamba-7b,TII,7.0,Pure SSM,7-9B,ctr_cc,Causal,0.2491,0.160,0.0891
falcon-mamba-7b,TII,7.0,Pure SSM,7-9B,mor_cc,Moral,0.2137,0.000,0.2137
falcon-mamba-7b,TII,7.0,Pure SSM,7-9B,null_cc,Null,0.1210,0.700,-0.5790
