dropped_model,n,moral_strategic_r
(none),38,+0.1455
deepseek-r1-distill-qwen-7b,37,+0.2726
deepseek-v2-lite,37,+0.1389
falcon-40b,37,+0.1367
falcon-7b,37,+0.1198
falcon-mamba-7b,37,+0.1044
falcon3-7b-base,37,+0.1653
gemma-2-27b-it,37,+0.1445
gemma-2-27b,37,+0.1400
gemma-2-2b,37,+0.1452
gemma-2-9b-it,37,+0.1313
gemma-2-9b,37,+0.1365
granite-3.0-8b,37,+0.1210
granite-3.1-8b,37,+0.1213
llama-3-8b,37,+0.1464
llama-3.1-8b-instruct,37,+0.1402
llama-3.2-1b,37,+0.1621
llama-3.2-3b,37,+0.1406
mamba-2.8b,37,+0.1243
mistral-7b-instruct-v0.2,37,+0.1576
mistral-7b,37,+0.1417
mistral-nemo-12b-base,37,+0.1457
olmo-2-13b,37,+0.1511
olmo-2-7b,37,+0.1589
olmo-7b,37,+0.1421
phi-3-medium,37,+0.1106
phi-3-mini,37,+0.1510
phi-3.5-mini,37,+0.1456
pythia-6.9b,37,+0.0941
qwen-2-7b,37,+0.2573
qwen-2.5-1.5b,37,+0.1561
qwen-2.5-14b-instruct,37,+0.1481
qwen-2.5-14b,37,+0.1534
qwen-2.5-3b,37,+0.1297
qwen-2.5-7b,37,+0.1437
smollm-1.7b,37,+0.1414
yi-1.5-34b-chat,37,+0.1370
yi-1.5-34b,37,+0.1504
yi-1.5-9b,37,+0.1428
