model,family,size_b,arch,tier,ToM_CA,Causal_CA,Moral_CA,Strategic_CA,Spatial_CA,Null_CA,Math_CA,Proof_CA,ToM_target,Causal_target,Moral_target,Strategic_target,Spatial_target,Null_target,Math_target,Proof_target,ToM_retain,Causal_retain,Moral_retain,Strategic_retain,Spatial_retain,Null_retain,Math_retain,Proof_retain
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,Dense Transformer (Distilled),7-9B,0.104,0.4149,-0.001,0.7032,0.2413,-0.2541,0.2013,-0.471,0.2178,0.6114,0.0125,0.7548,0.2522,0.0025,0.2013,0.4456,0.1137,0.1965,0.0135,0.0517,0.011,0.2566,0.0,0.9167
deepseek-v2-lite,DeepSeek,16.0,Mixture of Experts,12-14B,0.1011,0.2397,0.056,0.3375,0.387,0.3141,0.3243,0.0129,0.2217,0.6932,0.1799,0.524,0.5441,0.8429,0.3243,0.2841,0.1205,0.4535,0.1239,0.1865,0.1571,0.5288,0.0,0.2712
falcon-40b,TII,40.0,Dense Transformer,27-72B,0.149,0.212,0.0748,0.163,0.1433,-0.0302,0.494,-0.2175,0.2842,0.6558,0.2414,0.3279,0.4175,0.6578,0.494,0.036,0.1352,0.4438,0.1666,0.1648,0.2742,0.6881,0.0,0.2535
falcon-7b,TII,7.0,Dense Transformer,7-9B,0.1665,0.3329,0.0391,0.2273,0.2653,-0.0669,0.5644,-0.0412,0.2386,0.5356,0.0523,0.4298,0.3868,0.2517,0.5644,0.0621,0.0721,0.2028,0.0132,0.2024,0.1215,0.3186,0.0,0.1033
falcon-mamba-7b,TII,7.0,Pure SSM,7-9B,0.0511,0.2491,0.2137,0.5334,0.255,0.121,0.702,,0.4392,0.9175,0.5019,0.8982,0.422,0.868,0.702,,0.3881,0.6684,0.2882,0.3648,0.1671,0.7471,0.0,
falcon3-7b-base,TII,7.0,Dense Transformer,7-9B,0.1732,0.1157,0.2968,0.3841,0.2031,0.1504,0.2714,,0.4977,0.9028,0.5229,0.8953,0.4016,0.9335,0.2714,,0.3245,0.7871,0.2261,0.5112,0.1986,0.7831,0.0,
gemma-2-27b,Google,27.0,Dense Transformer,27-72B,0.0691,0.1399,0.0722,0.3151,0.2075,0.082,0.7046,0.0271,0.5522,0.9338,0.3513,0.7556,0.4464,0.7702,0.7046,0.7504,0.4832,0.7939,0.2791,0.4405,0.2389,0.6882,0.0,0.7233
gemma-2-27b-it,Google,27.0,Dense Transformer (Instruct),27-72B,0.2157,0.0772,0.0448,0.3842,0.1732,-0.1256,0.6575,-0.0839,0.5673,0.9823,0.7978,0.9823,0.3456,0.7403,0.6575,0.912,0.3516,0.9051,0.7529,0.5981,0.1724,0.8659,0.0,0.9959
gemma-2-2b,Google,2.0,Dense Transformer,1.7-3.8B,0.095,0.2603,0.0914,0.2508,0.0696,0.3982,0.5837,0.3812,0.174,0.7323,0.1163,0.3305,0.3189,0.765,0.5837,0.6342,0.079,0.472,0.0249,0.0797,0.2492,0.3668,0.0,0.253
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,0.2083,0.2392,0.1354,0.5039,0.2059,0.0033,0.6991,,0.4084,0.8634,0.3271,0.8362,0.4252,0.9488,0.6991,,0.2001,0.6242,0.1917,0.3324,0.2193,0.9455,0.0,
