model,family,size_b,ToM_raw,Causal_raw,Moral_raw,Strategic_raw,Spatial_raw,Null_raw,ToM_corrected,Causal_corrected,Moral_corrected,Strategic_corrected,Spatial_corrected,Null_corrected
deepseek-r1-distill-qwen-7b,DeepSeek,7.0,0.1040,0.4149,-0.0010,0.7032,0.2413,-0.2541,-0.0360,0.2549,-0.0010,0.4832,0.2413,-0.9541
deepseek-v2-lite,DeepSeek,16.0,0.1011,0.2397,0.0560,0.3375,0.3870,0.3141,-0.0389,0.0797,0.0560,0.1175,0.3870,-0.3859
falcon-40b,TII,40.0,0.1490,0.2120,0.0748,0.1630,0.1433,-0.0302,0.0090,0.0520,0.0748,-0.0570,0.1433,-0.7302
falcon-7b,TII,7.0,0.1665,0.3329,0.0391,0.2273,0.2653,-0.0669,0.0265,0.1729,0.0391,0.0073,0.2653,-0.7669
falcon-mamba-7b,TII,7.0,0.0511,0.2491,0.2137,0.5334,0.2550,0.1210,-0.0889,0.0891,0.2137,0.3134,0.2550,-0.5790
falcon3-7b-base,TII,7.0,0.1732,0.1157,0.2968,0.3841,0.2031,0.1504,0.0332,-0.0443,0.2968,0.1641,0.2031,-0.5496
gemma-2-27b,Google,27.0,0.0691,0.1399,0.0722,0.3151,0.2075,0.0820,-0.0709,-0.0201,0.0722,0.0951,0.2075,-0.6180
gemma-2-27b-it,Google,27.0,0.2157,0.0772,0.0448,0.3842,0.1732,-0.1256,0.0757,-0.0828,0.0448,0.1642,0.1732,-0.8256
gemma-2-2b,Google,2.0,0.0950,0.2603,0.0914,0.2508,0.0696,0.3982,-0.0450,0.1003,0.0914,0.0308,0.0696,-0.3018
gemma-2-9b,Google,9.0,0.2083,0.2392,0.1354,0.5039,0.2059,0.0033,0.0683,0.0792,0.1354,0.2839,0.2059,-0.6967
gemma-2-9b-it,Google,9.0,0.1922,0.0660,0.1508,0.5080,0.1350,-0.1014,0.0522,-0.0940,0.1508,0.2880,0.1350,-0.8014
granite-3.0-8b,IBM,8.0,0.1898,0.1562,0.2112,0.4829,0.0973,0.0698,0.0498,-0.0038,0.2112,0.2629,0.0973,-0.6302
granite-3.1-2b,IBM,2.0,0.1695,0.2154,0.0481,0.5171,0.2043,0.0353,0.0295,0.0554,0.0481,0.2971,0.2043,-0.6647
granite-3.1-8b,IBM,8.0,0.1813,0.1220,0.2427,0.4670,0.1288,0.0502,0.0413,-0.0380,0.2427,0.2470,0.1288,-0.6498
llama-3-70b,Meta,70.0,0.2298,0.1696,0.1318,,0.1338,,0.0898,0.0096,0.1318,,0.1338,
llama-3-8b,Meta,8.0,0.1934,0.2290,0.1242,0.3859,0.1804,0.0987,0.0534,0.0690,0.1242,0.1659,0.1804,-0.6013
llama-3.1-8b-instruct,Meta,8.0,0.1934,0.1258,0.1542,0.4359,0.2434,0.0374,0.0534,-0.0342,0.1542,0.2159,0.2434,-0.6626
llama-3.2-1b,Meta,1.0,0.1205,0.3853,0.0364,0.4716,0.1378,0.2236,-0.0195,0.2253,0.0364,0.2516,0.1378,-0.4764
llama-3.2-3b,Meta,3.0,0.2136,0.2477,0.1207,0.5185,0.2577,0.0071,0.0736,0.0877,0.1207,0.2985,0.2577,-0.6929
mamba-2.8b,EleutherAI,2.8,0.0541,0.2361,0.0110,0.3038,0.1113,-0.0807,-0.0859,0.0761,0.0110,0.0838,0.1113,-0.7807
mistral-7b,Mistral,7.0,0.2602,0.2269,0.1205,0.4827,0.2538,0.0118,0.1202,0.0669,0.1205,0.2627,0.2538,-0.6882
mistral-7b-instruct-v0.2,Mistral,7.0,0.0816,0.1100,-0.0020,0.4248,0.2791,0.2588,-0.0584,-0.0500,-0.0020,0.2048,0.2791,-0.4412
mistral-nemo-12b-base,Mistral,12.0,0.2582,0.1427,0.1041,0.4750,0.1384,-0.0521,0.1182,-0.0173,0.1041,0.2550,0.1384,-0.7521
olmo-2-13b,AI2,13.0,0.0881,0.3778,0.1396,0.3538,0.1761,-0.0163,-0.0519,0.2178,0.1396,0.1338,0.1761,-0.7163
olmo-2-7b,AI2,7.0,0.0790,0.3060,0.2141,0.3686,0.1690,0.2535,-0.0610,0.1460,0.2141,0.1486,0.1690,-0.4465
olmo-7b,AI2,7.0,0.0692,0.2857,0.1415,0.4296,0.1616,0.4066,-0.0708,0.1257,0.1415,0.2096,0.1616,-0.2934
phi-3-medium,Microsoft,14.0,0.1247,0.0857,-0.0134,0.2786,0.2038,0.0615,-0.0153,-0.0743,-0.0134,0.0586,0.2038,-0.6385
phi-3-mini,Microsoft,3.8,0.1308,0.0798,0.1244,0.3308,0.1428,0.4767,-0.0092,-0.0802,0.1244,0.1108,0.1428,-0.2233
phi-3.5-mini,Microsoft,3.8,0.0977,0.0627,-0.0350,0.3829,0.1573,0.5465,-0.0423,-0.0973,-0.0350,0.1629,0.1573,-0.1535
pythia-6.9b,EleutherAI,6.9,0.0709,0.2279,-0.0015,0.2057,0.1723,0.0475,-0.0691,0.0679,-0.0015,-0.0143,0.1723,-0.6525
qwen-2-7b,Alibaba,7.0,-0.0184,0.1523,-0.0784,0.5626,0.2271,-0.0293,-0.1584,-0.0077,-0.0784,0.3426,0.2271,-0.7293
qwen-2.5-1.5b,Alibaba,1.5,0.0538,0.4203,0.0003,0.4212,0.0905,0.2777,-0.0862,0.2603,0.0003,0.2012,0.0905,-0.4223
qwen-2.5-14b,Alibaba,14.0,0.0629,0.1019,0.1955,0.3777,0.1794,-0.0061,-0.0771,-0.0581,0.1955,0.1577,0.1794,-0.7061
qwen-2.5-14b-instruct,Alibaba,14.0,0.0127,0.0429,0.0934,0.1981,0.3032,0.4526,-0.1273,-0.1171,0.0934,-0.0219,0.3032,-0.2474
qwen-2.5-32b-instruct-awq,Alibaba,32.0,0.0660,0.0444,0.0486,0.2834,0.2468,0.2207,-0.0740,-0.1156,0.0486,0.0634,0.2468,-0.4793
qwen-2.5-3b,Alibaba,3.0,0.0851,0.2114,0.1532,0.5150,0.1523,0.1245,-0.0549,0.0514,0.1532,0.2950,0.1523,-0.5755
qwen-2.5-7b,Alibaba,7.0,0.1417,0.1531,0.1325,0.4189,0.1745,0.4501,0.0017,-0.0069,0.1325,0.1989,0.1745,-0.2499
smollm-1.7b,HuggingFace,1.7,0.0711,0.3595,0.0592,0.3561,0.1998,0.2319,-0.0689,0.1995,0.0592,0.1361,0.1998,-0.4681
smollm-360m,HuggingFace,0.36,0.0574,0.2938,0.0741,0.3704,0.0889,0.3063,-0.0826,0.1338,0.0741,0.1504,0.0889,-0.3937
yi-1.5-34b,01.AI,34.0,0.1874,0.1659,0.1322,0.3504,0.1941,0.0318,0.0474,0.0059,0.1322,0.1304,0.1941,-0.6682
yi-1.5-34b-chat,01.AI,34.0,0.1702,0.0612,0.0528,0.3255,0.2239,-0.0280,0.0302,-0.0988,0.0528,0.1055,0.2239,-0.7280
yi-1.5-9b,01.AI,9.0,0.1841,0.1804,0.2051,0.4148,0.2507,-0.2047,0.0441,0.0204,0.2051,0.1948,0.2507,-0.9047
