domain,primitive,predicted_sign,P_beta_gt_0,P_beta_lt_0,verdict
Cybersecurity,ToM,+,0.997,0.003,hit
Cybersecurity,Causal,+,0.842,0.158,underpowered
Cybersecurity,Strategic,+,0.823,0.177,underpowered
Medical,Causal,+,0.996,0.004,hit
Medical,Moral,+,1.0,0.0,hit
Medical,Spatial,+,0.965,0.035,hit
Legal,Moral,+,0.976,0.024,hit
Safety,ToM,+,1.0,0.0,hit
Safety,Moral,+,1.0,0.0,hit
Safety,Strategic,+,0.999,0.001,hit
Financial,ToM,+,0.907,0.093,underpowered
Financial,Causal,+,0.979,0.021,hit
Financial,Strategic,+,0.872,0.128,underpowered
Scientific,ToM,+,0.998,0.002,hit
Scientific,Causal,+,0.897,0.103,underpowered
Scientific,Spatial,+,0.956,0.044,hit
