model,balanced_copa,bigbench_diplomacy,bigbench_strategy,bigtom,cybermetric,finqa,legalbench,scienceqa,stepgame,bb_strategy,bb_diplomacy,ethics,hendrycks_math,gsm8k,medqa,truthfulqa
deepseek-r1-distill-qwen-7b,0.638,0.5,0.4893,0.5,0.2869,0.11,0.6003,0.454,0.056,0.4893,0.5,0.5173,,,0.3331,0.4556
deepseek-v2-lite,0.742,,,0.5,,,,,,,,,,,,
falcon-40b,0.812,0.5,,0.5,,0.07,0.7927,0.444,0.104,,0.5,,,,,0.4169
falcon-7b,0.728,0.5,0.557,0.5,0.2617,0.025,0.3744,0.45,0.12,0.557,0.5,0.5593,,,0.2797,0.3428
falcon-mamba-7b,0.774,0.522,0.6793,0.65,0.38,0.04,0.4002,0.672,0.142,0.6793,0.522,0.6344,,,0.4957,0.5323
falcon3-7b-base,0.722,0.522,0.6273,0.905,0.4378,0.04,0.602,0.778,0.15,0.6273,0.522,0.5811,,,0.5797,0.5343
gemma-2-27b,0.804,0.542,0.7187,0.5,,0.08,0.5488,0.526,0.118,0.7187,0.542,,,,0.6544,0.4775
gemma-2-27b-it,0.824,,,0.9487,,,,,,,,,,,,
gemma-2-2b,0.726,0.478,0.5972,0.5,0.2959,0.04,0.52,0.482,0.136,0.5972,0.478,0.5339,,,0.3535,0.3626
gemma-2-9b,0.758,0.498,0.6776,0.5,0.378,0.14,0.4025,0.684,0.19,0.6776,0.498,0.5025,,,0.6002,0.4554
gemma-2-9b-it,0.794,0.502,0.7401,0.9025,0.4489,0.165,0.5582,0.91,0.15,0.7401,0.502,0.7219,,,0.6316,0.6017
granite-3.0-8b,0.74,0.5,0.6505,0.5038,0.2657,0.045,0.5992,0.444,0.118,0.6505,0.5,0.5428,,,0.513,0.5291
granite-3.1-2b,0.718,0.5,0.6099,0.5,0.3442,0.04,0.4306,0.516,0.144,0.6099,0.5,0.5639,,,0.4046,0.3904
granite-3.1-8b,0.742,0.5,0.6518,0.5112,0.2662,0.065,0.6003,0.444,0.118,0.6518,0.5,0.5389,,,0.4996,0.5137
llama-3-8b,0.754,0.504,0.5976,0.5,0.4071,0.215,0.4081,0.682,0.164,0.5976,0.504,0.5774,,,0.5884,0.4298
llama-3.1-8b-instruct,0.766,0.496,0.685,0.635,0.4273,0.105,0.3687,0.886,0.134,0.685,0.496,0.5828,,,0.6198,0.5451
llama-3.2-1b,0.708,0.5,0.5142,0.5,0.2874,0.01,0.466,0.496,0.11,0.5142,0.5,0.4969,,,0.37,0.385
llama-3.2-3b,0.732,0.502,0.5513,0.5,0.3548,0.11,0.4109,0.574,0.186,0.5513,0.502,0.5424,,,0.5192,0.3924
mamba-2.8b,0.692,0.516,0.543,0.5,0.2738,0.02,0.3772,0.442,0.118,0.543,0.516,0.5027,,,0.2632,0.3599
mistral-7b,0.748,0.518,0.6125,0.5,0.3855,0.055,0.3676,0.584,0.118,0.6125,0.518,0.5863,,,0.5004,0.4177
mistral-7b-instruct-v0.2,0.78,0.456,0.6571,0.88,0.4434,0.07,0.3693,0.756,0.162,0.6571,0.456,0.6329,,,0.5067,0.6817
mistral-nemo-12b-base,0.756,0.614,0.6479,0.5225,0.2738,0.19,0.3659,,0.118,0.6479,0.614,0.5198,,,0.6025,0.496
olmo-2-13b,0.786,0.486,0.6474,0.8588,0.3719,0.11,0.5244,0.738,0.16,0.6474,0.486,0.7604,,,0.5224,0.5018
olmo-2-7b,0.77,0.5,0.6396,0.7588,0.3719,0.075,0.4244,0.636,0.128,0.6396,0.5,0.5996,,,0.4941,0.433
olmo-7b,0.736,0.522,0.5815,0.5012,0.3437,0.045,0.5031,0.614,0.114,0.5815,0.522,0.5156,,,0.3582,0.3642
phi-3-mini,0.78,0.482,0.6256,0.8263,0.459,0.05,0.5205,0.844,0.236,0.6256,0.482,0.6533,,,0.5365,0.5448
phi-3.5-mini,0.75,0.446,0.6173,0.92,0.463,0.055,0.371,0.848,0.26,0.6173,0.446,0.6988,,,0.4933,0.5645
pythia-6.9b,0.7,0.5,0.5238,0.5,0.2587,0.015,0.4334,0.438,0.126,0.5238,0.5,0.5116,,,0.2302,0.3629
qwen-2-7b,0.788,0.504,0.6951,0.5,0.4051,0.155,0.3817,0.758,0.172,0.6951,0.504,0.6223,,,0.5648,0.5424
qwen-2.5-1.5b,0.73,0.5,0.5767,0.5,0.2687,0.045,0.3721,0.446,0.114,0.5767,0.5,0.5048,,,0.4627,0.4664
qwen-2.5-14b,0.8,0.492,0.6972,0.9113,0.4172,0.275,0.5,0.666,0.184,0.6972,0.492,0.6899,,,0.6905,0.5845
qwen-2.5-32b-instruct-awq,0.786,0.5,0.7728,0.8775,0.617,0.1,0.3963,0.926,0.336,0.7728,0.5,0.8245,,,0.7148,0.6637
qwen-2.5-3b,0.762,0.498,0.6142,0.5012,0.3367,0.115,0.6003,0.612,0.094,0.6142,0.498,0.5911,,,0.5043,0.49
qwen-2.5-7b,0.788,0.508,0.6876,0.5962,0.4283,0.175,0.6127,0.644,0.118,0.6876,0.508,0.5695,,,0.6441,0.5636
smollm-1.7b,0.722,0.5,0.5094,0.5,0.2632,,0.5942,0.43,0.12,0.5094,0.5,0.4996,,,0.2451,0.3844
smollm-360m,0.646,0.5,0.4972,0.5,0.2562,0.02,0.4154,0.444,0.114,0.4972,0.5,0.4965,,,0.2404,0.3806
yi-1.5-34b-chat,0.798,0.476,0.7527,0.5,0.4791,0.065,0.4512,0.906,0.262,0.7527,0.476,0.7835,,,0.6143,0.6231
yi-1.5-9b,0.74,0.502,0.6352,0.8612,0.4494,0.095,0.6015,0.828,0.202,0.6352,0.502,0.5526,,,0.553,0.4644
